 	флебология		флеболо'гія	 
 	Флегетон		Флегето'нъ	 
 	флегматик		флегма'тикъ	 
 	Флегонт		Флего'нтъ	 
 	флейта		фле'йта, на фле'йтѣ	 
 	флейтист		флейти'стъ, флейти'стка	 
 	Флексер		Фле'ксеръ	 
 	флексия		фле'ксія (назва'ніе оконча'ній, кото'рыя присоединя'ются къ ко'рню сло'ва)	 
 	Флеминг		Фле'мингъ	 
 	Фленсбург		Фле'нсбургъ	 
 	флёр		флёръ (шерстяна'я или шёлковая то'нкая мате'рія въ тра'урныхъ костю'махъ)	 
 	флёрдоранж		флёръ-д'ора'нжъ (со'бственно цвѣты' помера'нцеваго де'рева, слу'жащіе си'мволомъ дѣ'вичьей неви'нности и употребля'емые въ ви'дѣ вѣнко'въ для украше'нія невѣ'стъ въ день вѣнча'нія)	 
 	Флерус		Фле'русъ	 
 	Флессель		Фле'ссель	 
 	Флетчер		Фле'тчеръ	 
 	флец		фле'цъ	 
 	флешь		фле'шь	 
 	флигелёк		флигелёкъ	 
 	флигелёчек		флигелёчекъ	 
 	флигель		фли'гель (бокова'я постро'йка при гла'вномъ зда'ніи)	 
 	Флисинген		Фли'сингенъ	 
 	Флобер		Флобе'ръ	 
 	Флор		Фло'ръ	 
 	флора		фло'ра	 
 	Флорентий		Флоре'нтій	 
 	Флорентинский		Флоренти'нскій (собо'ръ)	 
 	Флоренция		Флоре'нція	 
 	Флориан		Флоріа'нъ	 
 	флот		фло'тъ, во фло'тѣ, на фло'тѣ (проф.)	 
 	флотилия		флоти'лія	 
 	флуоресценция		флуоресце'нція	 
 	флюгер		флюгеръ	 
 	флюс		флю'съ	 
 	фляга		фля'га	 
фо 	фобия		фо'бія (навя'зчивое состоя'ніе стра'ха у психи'ческихъ больны'хъ)	^
 	Фогель		Фо'гель	 
 	фойе		фойе'	 
 	Фока		Фо'ка	 
 	Фокея		Фоке'я	 
 	Фокион		Фокіо'нъ	 
 	фокус		фо'кусъ, въ фо'кусѣ	 
 	фолиант		фоліа'нтъ (кни'га форма'та in folio, т. е. полулиста')	 
 	фольга		фольга', въ фольгѣ'	 
 	фольклор		фолькло'ръ (совоку'пность наро'дныхъ повѣ'рій, леге'ндъ, ска'зокъ, посло'вицъ)	 
 	Фома		Ѳома' Ѳоми'чъ Ѳомичёвъ, о Ѳомѣ' Ѳоми'чѣ Ѳомичёвѣ	 
 	Фоменко		Ѳоме'нко	 
 	Фоминична		Ѳоми'нична	 
 	Фомич		Ѳоми'чъ	 
 	фон		фо'нъ, на фо'нѣ	 
 	фонарём		фонарёмъ	 
 	фонарь		фона'рь	 
 	Фонвизин		Фонви'зинъ	 
 	фондоёмкий		фондоёмкій	 
 	фонема		фоне'ма	 
 	фонетика		фоне'тика (уче'ніе о зву'кахъ, отдѣ'лъ языковѣ'дѣнія)	 
