га 	гавань		га'вань	^
 	глазеть		глазѣ'ть (смотрѣ'ть безцѣ'льно, изъ пра'зднаго любопы'тства), глазѣ'йте, глазѣ'ю, глазѣ'етъ	 
 	глазомер		глазомѣ'ръ	 
 	гласе		гласе'	 
 	глауберова		глаубе'рова (соль)	 
 	Глеб		Глѣбъ, Глѣ'бовъ Глѣбъ Глѣ'бовичъ, о Глѣ'бовѣ Глѣ'бѣ Глѣ'бовичѣ	 
 	глень		глѣ'нь, глѣ'нистый	 
 	глетчер		гле'тчеръ (ледни'къ), на гле'тчерѣ	 
 	Гликерия		Глике'рія, Луке'рья	 
 	глинозём		глинозёмъ	 
 	глинтвейн		глинтве'йнъ (горя'чій напи'токъ изъ кра'снаго вина' съ са'харомъ и пря'ностями)	 
 	глиняный		гли'няный	 
 	глицерин		глицери'нъ	 
 	глобальное		глоба'льное	 
 	глобальные		глоба'льные (м. р.), глоба'льныя (ж. р. и ср. р.)	 
 	глодать		глода'ть, гло'жутъ, гло'жетъ, глода'ешь	 
 	гложет		гло'жетъ	 
 	Гломмен		Гло'мменъ	 
 	глотнёт		глотнётъ	 
 	глубже		глу'бже	 
 	глубина		глубина', по глубинѣ'	 
 	глубинное		глуби'нное	 
 	глубинные		глуби'нные (м. р.), глуби'нныя (ж. р. и ср. р.)	 
 	глубокие		глубо'кіе (м. р.), глубо'кія (ж. р. и ср. р.)	 
 	глубокое		глубо'кое, глубо'каго	 
 	глубокомысленнее		глубокомы'сленнѣе	 
 	глубокомысленно		глубокомы'сленно	 
 	глубокомысленного		глубокомы'сленнаго	 
 	глубокомысленное		глубокомы'сленное	 
 	глубокомысленные		глубокомы'сленные (м. р.), глубокомы'сленныя (ж. р. и ср. р.)	 
 	глубокомысленный		глубокомы'сленный, глубокомы'сленнаго	 
 	глубоконек		глубо'конекъ	 
 	глубокоуважаемого		глубокоуважа'емаго	 
 	глубокоуважаемые		глубокоуважа'емые (м. р.), глубокоуважа'емыя (ж. р. и ср. р.)	 
 	глубокоуважаемый		глубокоуважа'емый, глубокоуважа'емаго	 
 	глубочайше		глубоча'йше	 
 	глубочайшее		глубоча'йшее	 
 	глумление		глумле'ніе	 
 	глупее		глупѣ'е	 
 	глупеем		глупѣ'емъ	 
 	глупеет		глупѣ'етъ	 
 	глупеешь		глупѣ'ешь	 
 	глупейшее		глупѣ'йшее	 
 	глупейший		глупѣ'йшій, глупѣ'йшаго	 
 	глупенький		глу'пенькій, глу'пенькаго	 
 	глупеть		глупѣ'ть (дѣ'латься глу'пымъ), но глупи'ть (дѣ'лать глу'пости)	 
 	глупёхонький		глупёхонькій, глупёхонекъ, глупёхонькаго	 
 	глупец		глупе'цъ, глупцо'въ, о глупцѣ'	 
 	глупёшенький		глупёшенькій, глупёшенекъ, глупёшенькаго	 
 	глупею		глупѣ'ю (какъ одѣ'ну портупе'ю, такъ глупѣ'ю и тупѣ'ю)	 
 	глупеют		глупѣ'ютъ	 
 	глупо		глу'по, глу'пый, глу'паго, глупѣ'е	 
 	глупого		глу'паго	 
 	глупое		глу'пое	 
 	глупые		глу'пые (м. р.), глу'пыя (ж. р. и ср. р.)	 
 	глухонемой		глухонѣмо'й, глухонѣмо'го	 
 	глушение		глуше'ніе	 
 	глядел		глядѣ'лъ, глядѣ'ла, глядѣ'ли	 
 	гляделки		глядѣ'лки (игра')	 
 	гляделся		глядѣ'лся, глядѣ'лась, глядѣ'лись	 
 	глядение		глядѣ'ніе	 
 	глядением		глядѣ'ніемъ	 
 	глядеть		глядѣ'ть	 
 	глядеться		глядѣ'ться	 
 	глядите		гляди'те	 
 	глядитесь		гляди'тесь	 
 	гляженое		гля'женое (гля'женое лу'чше хва'ленаго — что самъ ви'дѣлъ, ощу'палъ — вѣрнѣ'е)	 
 	глянет		гля'нетъ	 
 	глянете		гля'нете	 
 	глянец		гля'нецъ, въ гля'нцѣ, гля'нцемъ	 
 	глянцевитая		глянцови'тая	 
 	глянцевитый		глянцови'тый	 
гн 	гнев		гнѣвъ, въ гнѣ'вѣ	^
 	гневаться		гнѣ'ваться, гнѣ'вается	 
 	гневить		гнѣви'ть	 
 	гневиться		гнѣви'ться	 
 	гневливо		гнѣвли'во	 
 	гневливого		гнѣвли'ваго	 
 	гневливое		гнѣвли'вое	 
 	гневливые		гнѣвли'вые (м. р.), гнѣвли'выя (ж. р. и ср. р.)	 
 	гневливый		гнѣвли'вый, гнѣвли'ваго, гнѣвли'вость	 
 	гневно		гнѣ'вно	 
 	гневного		гнѣ'внаго	 
 	гневное		гнѣ'вное	 
 	гневность		гнѣ'вность	 
 	гневные		гнѣ'вные (м. р.), гнѣ'вныя (ж. р. и ср. р.)	 
 	гневный		гнѣ'вный, гнѣ'внаго, гнѣ'венъ, гнѣ'вна и гнѣвна'	 
 	Гнедич		Гнѣ'дичъ	 
 	гнедко		гнѣдко' (ло'шадь)	 
 	гнедой		гнѣдо'й, гнѣдо'го	 
 	гнездо		гнѣздо', мн. — гнѣ'зда, на гнѣздѣ', въ гнѣздѣ'	 
 	Гнезно		Гне'зно	 
 	гнейс		гне'йсъ (го'рная кристалли'ческая поро'да)	 
 	гнём		гнёмъ	 
 	гнёмся		гнёмся	 
 	гнести		гнести', гне'сть (дави'ть свое'й тя'жестью; удруча'ть)	 
 	гнёт		гнётъ, гнести', гнету'	 
 	гнёта		гнѣ'та	 
 	гнетёт		гнетётъ	 
 	гнётесь		гнётесь	 
 	гнетить		гнѣти'ть (зажига'ть)	 
 	гнётом		гнётомъ	 
 	гнетущего		гнету'щаго	 
 	гнетуще		гнету'ще (наpѣч.)	 
 	гнетущее		гнету'щее	 
 	гнетущие		гнету'щіе (м. р.), гнету'щія (ж. р. и ср. р.)	 
 	гнетущий		гнету'щій, гнету'щаго	 
 	гнёшь		гнёшь	 
 	гнёшься		гнёшься	 
 	гниение		гніе'ніе	 
 	гниём		гніёмъ	 
 	гниёт		гніётъ	 
 	гниёшь		гніёшь	 
 	гнилее		гнилѣ'е	 
 	гнильё		гнильё	 
 	гнию		гнію'	 
 	гниют		гнію'тъ	 
 	гносеология		гносеоло'гія (тео'рія позна'нія)	 
 	гнусен		гну'сенъ	 
 	гнуснее		гнуснѣ'е	 
 	гнусные		гну'сные (м. р.), гну'сныя (ж. р. и ср. р.)	 
 	гнусный		гну'сный, гну'снаго, гну'сное	 
 	гнутоклеёный		гнутоклеёный	 
 	гнутьё		гнутьё	 
го 	гобелен		гобеле'нъ (декорати'вная тка'нь съ вы'тканымъ рису'нкомъ)	^
 	говельщик		говѣ'льщикъ, говѣ'льщица	 
 	говение		говѣ'ніе	 
 	говеть		говѣ'ть (пости'ться и посѣща'ть церко'вныя слу'жбы), говѣ'ніе	 
 	говорённый		говорённый	 
 	говорите		говори'те	 
 	говорящего		говоря'щаго	 
 	говорящее		говоря'щее	 
 	говорящие		говоря'щіе (м. р.), говоря'щія (ж. р. и ср. р.)	 
 	говорящий		говоря'щій, говоря'щаго	 
 	говядина		говя'дина	 
 	говяжье		говя'жье, говя'жьяго	 
 	гоголем		го'големъ ходи'ть (щёголемъ, хва'томъ, самодово'льно подня'въ го'лову)	 
 	гогочет		гого'четъ	 
 	годен		го'денъ	 
 	годного		го'днаго	 
 	годное		го'дное	 
 	годные		го'дные (м. р.), го'дныя (ж. р. и ср. р.)	 
 	годный		го'дный, го'днаго	 
 	гоже		го'же (удо'бно — ма'ло снѣ'гу совсѣ'мъ, ходи'ть го'же), не го'же — не годи'тся, неудо'бно	 
 	гожий		го'жій (приго'дный), гожъ, не гожъ	 
 	голавлёвый		голавлёвый	 
 	Голгофа		Голго'ѳа	 
 	големый		голѣ'мый (цeрк. вели'кій, сла'вный)	 
 	голенастый		голена'стый, голена'стаго	 
 	голенище		голени'ще (ча'сть сапога', прикрыва'ющая го'лень)	 
 	голень		го'лень	 
 	голенький		го'ленькій, го'ленькаго	 
 	голёхонек		голёхонекъ	 
 	голец		голе'цъ (ры'ба)	 
 	голёшенький		голёшенькій	 
 	Голиаф		Голіа'ѳъ	 
