ра 	Рабле		Рабле'	^
 	распознаешь		распозна'ешь	 
 	распознаёшь		распознаёшь	 
 	располагается		располага'ется	 
 	расползается		располза'ется	 
 	расползёшься		расползёшься	 
 	расположение		расположе'ніе, въ расположе'ніи	 
 	распорошённый		распорошённый	 
 	распорядитель		распоряди'тель	 
 	распоряжение		распоряже'ніе	 
 	распотешить		распотѣ'шить	 
 	распотрошённый		распотрошённый	 
 	расправленный		распра'вленный	 
 	распределение		распредѣле'ніе	 
 	распределённый		распредѣлённый	 
 	распрекрасный		распрекра'сный	 
 	распри		ра'спри, ра'спрями, въ ра'спряхъ; ед. ра'спря, ра'спрей, о ра'спрѣ	 
 	распродаёт		распродаётъ	 
 	распростёртый		распростёртый	 
 	распространён		распространёнъ, распространённый	 
 	распространённый		распространённый	 
 	распространять		распространя'ть, распростране'ніе	 
 	распряжённый		распряжённый	 
 	распрямлённый		распрямлённый	 
 	распугнёт		распугнётъ	 
 	распуклый		распу'клый (ло'пнувшій, распуска'ющійся — о буто'нѣ цвѣтка', по'чкѣ)	 
 	распуколка		распу'колка (распуска'ющаяся по'чка и'ли буто'нъ цвѣтка')	 
 	распустёха		распустёха (небре'жно одѣ'тая, неопря'тная же'нщина)	 
 	распустится		распу'стится	 
 	распуститься		распусти'ться	 
 	Распутин		Распу'тинъ Григо'рій (не Распути'нъ! :)	 
 	распутье		распу'тье (перекрёстокъ дву'хъ и'ли нѣ'сколькихъ доро'гъ)	 
 	распушённый		распушённый	 
 	распылённый		распылённый	 
 	распятие		распя'тіе, распя'ть	 
 	рассада		разса'да	 
 	рассверлённый		разсверлённый	 
 	рассверлить		разсверли'ть	 
 	рассвет		разсвѣ'тъ (восхо'дъ со'лнца), на разсвѣ'тѣ; но расцвѣ'тъ (пора' наивы'сшаго подъёма)	 
 	рассветать		разсвѣта'ть	 
 	рассветёт		разсвѣтётъ	 
 	рассвирепеть		разсвирѣпѣ'ть	 
 	рассевать		разсѣва'ть (отъ сѣ'ять), разсѣ'въ	 
 	рассевшийся		разсѣ'вшійся	 
 	расседаться		разсѣда'ться	 
 	рассёдланный		разсѣдланный	 
 	расседлать		разсѣдла'ть	 
 	рассеивать		разсѣ'ивать	 
 	рассёк		разсѣкъ	 
 	рассекать		разсѣка'ть	 
 	расселение		разселе'ніе	 
 	расселённый		разселённый	 
 	расселина		разсѣ'лина	 
 	расселся		разсѣ'лся, разсѣ'лись	 
 	рассердиться		разсерди'ться	 
 	рассесться		разсѣ'сться	 
 	рассечённый		разсѣчённый	 
 	рассечь		разсѣ'чь	 
 	рассеялось		разсѣ'ялось, разсѣ'ялись	 
 	рассеяние		разсѣ'яніе	 
 	рассеянно		разсѣ'янно	 
 	рассеянное		разсѣ'янное	 
 	рассеянные		разсѣ'янные (м. р.), разсѣ'янныя (ж. р. и ср. р.)	 
